Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
Cellular & Molecular Immunology,2042-0226,Yes,,,Springer Nature (Academic Journals on Nature.com)
Cellular and Molecular Bioengineering,1865-5033,Yes,,,Springer Nature (Springer)
Cellular and Molecular Life Sciences,1420-9071,Yes,,,Springer Nature (Springer)
Cellular and Molecular Neurobiology,1573-6830,Yes,,,Springer Nature (Springer)
Cellular Oncology,2211-3436,Yes,,,Springer Nature (Springer)
Cellulose,1572-882X,Yes,,,Springer Nature (Springer)
CEN Case Reports,2192-4449,Yes,,,Springer Nature (Springer)
Central European Journal of Operations Research,1613-9178,Yes,,,Springer Nature (Springer)
Cereal Research Communications,1788-9170,Yes,,,Springer Nature (Springer)
Chemical and Petroleum Engineering,1573-8329,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chemical Papers,2585-7290,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chemical Research in Chinese Universities,2210-3171,Yes,,,Springer Nature (Springer)
Chemistry Africa,2522-5766,Yes,,,Springer Nature (Springer)
Chemistry and Technology of Fuels and Oils,1573-8310,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chemistry of Heterocyclic Compounds,1573-8353,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chemistry of Natural Compounds,1573-8388,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chemoecology,1423-0445,Yes,,,Springer Nature (Springer)
Chemosensory Perception,1936-5810,Yes,,,Springer Nature (Springer)
ChemTexts,2199-3793,Yes,,,Springer Nature (Springer)
Child & Youth Care Forum,1573-3319,Yes,,,Springer Nature (Springer)
Child and Adolescent Social Work Journal,1573-2797,Yes,,,Springer Nature (Springer)
Child Indicators Research,1874-8988,Yes,,,Springer Nature (Springer)
Child Psychiatry & Human Development,1573-3327,Yes,,,Springer Nature (Springer)
Child's Nervous System,1433-0350,Yes,,,Springer Nature (Springer)
Childhood Vulnerability Journal,2520-808X,Yes,,,Springer Nature (Springer)
Children's Literature in Education,1573-1693,Yes,,,Springer Nature (Springer)
China Foundry,2365-9459,Yes,,,Springer Nature (Springer)
China International Strategy Review,2524-5635,Yes,,,Springer Nature (Springer)
China Ocean Engineering,2191-8945,Yes,,,Springer Nature (Springer)
China Population and Development Studies,2523-8965,Yes,,,Springer Nature (Springer)
China-EU Law Journal,1868-5161,Yes,,,Springer Nature (Springer)
"Chinese Annals of Mathematics, Series B",1860-6261,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chinese Geographical Science,1993-064X,Yes,,,Springer Nature (Springer)
Chinese Journal of Academic Radiology,2520-8993,Yes,,,Springer Nature (Springer)
Chinese Journal of Integrative Medicine,1993-0402,Yes,,,Springer Nature (Springer)
Chinese Journal of Polymer Science,1439-6203,Yes,,,Springer Nature (Springer)
Chinese Political Science Review,2365-4252,Yes,,,Springer Nature (Springer)
Chinesische Medizin / Chinese Medicine,2196-5668,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Chromatographia,1612-1112,Yes,,,Springer Nature (Springer)
Chromosoma,1432-0886,Yes,,,Springer Nature (Springer)
Chromosome Research,1573-6849,Yes,,,Springer Nature (Springer)
"Circuits, Systems, and Signal Processing",1531-5878,Yes,,,Springer Nature (Springer)
Circular Economy and Sustainability,2730-5988,Yes,,,Springer Nature (Springer)
Clays and Clay Minerals,1552-8367,Yes,,,Springer Nature (Springer)
Clean Technologies and Environmental Policy,1618-9558,Yes,,,Springer Nature (Springer)
Climate Dynamics,1432-0894,Yes,,,Springer Nature (Springer)
Climatic Change,1573-1480,Yes,,,Springer Nature (Springer)
Clinical & Experimental Metastasis,1573-7276,Yes,,,Springer Nature (Springer)
Clinical and Experimental Medicine,1591-9528,Yes,,,Springer Nature (Springer)
Clinical and Experimental Nephrology,1437-7799,Yes,,,Springer Nature (Springer)
Clinical and Translational Imaging,2281-7565,Yes,,,Springer Nature (Springer)
Clinical and Translational Oncology,1699-3055,Yes,,,Springer Nature (Springer)
Clinical Autonomic Research,1619-1560,Yes,,,Springer Nature (Springer)
Clinical Child and Family Psychology Review,1573-2827,Yes,,,Springer Nature (Springer)
Clinical Dentistry Reviewed,2511-1965,Yes,,,Springer Nature (Springer)
Clinical Drug Investigation,1179-1918,Yes,,,Springer Nature (Adis)
Clinical Journal of Gastroenterology,1865-7265,Yes,,,Springer Nature (Springer)
Clinical Neuroradiology,1869-1447,Yes,,,Springer Nature (Springer)
Clinical Oral Investigations,1436-3771,Yes,,,Springer Nature (Springer)
Clinical Pharmacokinetics,1179-1926,Yes,,,Springer Nature (Adis)
Clinical Research in Cardiology,1861-0692,Yes,,,Springer Nature (Springer)
Clinical Reviews in Allergy & Immunology,1559-0267,Yes,,,Springer Nature (Springer)
Clinical Reviews in Bone and Mineral Metabolism,1559-0119,Yes,,,Springer Nature (Springer)
Clinical Rheumatology,1434-9949,Yes,,,Springer Nature (Springer)
Clinical Social Work Journal,1573-3343,Yes,,,Springer Nature (Springer)
Cliometrica,1863-2513,Yes,,,Springer Nature (Springer)
Cluster Computing,1573-7543,Yes,,,Springer Nature (Springer)
CME,1614-3744,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
CNS Drugs,1179-1934,Yes,,,Springer Nature (Adis)
"Cognition, Technology & Work",1435-5566,Yes,,,Springer Nature (Springer)
Cognitive Computation,1866-9964,Yes,,,Springer Nature (Springer)
Cognitive Neurodynamics,1871-4099,Yes,,,Springer Nature (Springer)
Cognitive Processing,1612-4790,Yes,,,Springer Nature (Springer)
Cognitive Therapy and Research,1573-2819,Yes,,,Springer Nature (Springer)
"Cognitive, Affective, & Behavioral Neuroscience",1531-135X,Yes,,,Springer Nature (Springer)
Coke and Chemistry,1934-8398,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Collectanea Mathematica,2038-4815,Yes,,,Springer Nature (Springer)
Colloid and Polymer Science,1435-1536,Yes,,,Springer Nature (Springer)
Colloid Journal,1608-3067,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
coloproctology,1615-6730,Yes,,,Springer Nature (Springer)
Combinatorica,1439-6912,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
"Combustion, Explosion, and Shock Waves",1573-8345,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Communications in Mathematical Physics,1432-0916,Yes,,,Springer Nature (Springer)
Communications in Mathematics and Statistics,2194-671X,Yes,,,Springer Nature (Springer)
Communications on Applied Mathematics and Computation,2661-8893,Yes,,,Springer Nature (Springer)
Community Ecology,1588-2756,Yes,,,Springer Nature (Springer)
Community Mental Health Journal,1573-2789,Yes,,,Springer Nature (Springer)
Comparative Clinical Pathology,1618-565X,Yes,,,Springer Nature (Springer)
Comparative Economic Studies,1478-3320,Yes,,,Springer Nature (Palgrave Macmillan)
Comparative European Politics,1740-388X,Yes,,,Springer Nature (Palgrave Macmillan)
Complex Analysis and its Synergies,2197-120X,Yes,,,Springer Nature (Springer)
Complex Analysis and Operator Theory,1661-8262,Yes,,,Springer Nature (Springer)
Computational and Applied Mathematics,1807-0302,Yes,,,Springer Nature (Springer)
Computational and Mathematical Organization Theory,1572-9346,Yes,,,Springer Nature (Springer)
Computational Brain & Behavior,2522-087X,Yes,,,Springer Nature (Springer)
computational complexity,1420-8954,Yes,,,Springer Nature (Springer)
Computational Economics,1572-9974,Yes,,,Springer Nature (Springer)
Computational Geosciences,1573-1499,Yes,,,Springer Nature (Springer)
Computational Management Science,1619-6988,Yes,,,Springer Nature (Springer)
Computational Mathematics and Mathematical Physics,1555-6662,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Computational Mathematics and Modeling,1573-837X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Computational Mechanics,1432-0924,Yes,,,Springer Nature (Springer)
Computational Methods and Function Theory,2195-3724,Yes,,,Springer Nature (Springer)
Computational Optimization and Applications,1573-2894,Yes,,,Springer Nature (Springer)
Computational Particle Mechanics,2196-4386,Yes,,,Springer Nature (Springer)
Computational Statistics,1613-9658,Yes,,,Springer Nature (Springer)
Computer Supported Cooperative Work (CSCW),1573-7551,Yes,,,Springer Nature (Springer)
Computing,1436-5057,Yes,,,Springer Nature (Springer)
Computing and Software for Big Science,2510-2044,Yes,,,Springer Nature (Springer)
Conservation Genetics,1572-9737,Yes,,,Springer Nature (Springer)
Conservation Genetics Resources,1877-7260,Yes,,,Springer Nature (Springer)
Constitutional Political Economy,1572-9966,Yes,,,Springer Nature (Springer)
Constraints,1572-9354,Yes,,,Springer Nature (Springer)
Construction Robotics,2509-8780,Yes,,,Springer Nature (Springer)
Constructive Approximation,1432-0940,Yes,,,Springer Nature (Springer)
Contemporary Family Therapy,1573-3335,Yes,,,Springer Nature (Springer)
Contemporary Islam,1872-0226,Yes,,,Springer Nature (Springer)
Contemporary Jewry,1876-5165,Yes,,,Springer Nature (Springer)
Contemporary Political Theory,1476-9336,Yes,,,Springer Nature (Palgrave Macmillan)
Contemporary Problems of Ecology,1995-4263,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Contemporary School Psychology,2161-1505,Yes,,,Springer Nature (Springer)
Continental Philosophy Review,1573-1103,Yes,,,Springer Nature (Springer)
Continuum Mechanics and Thermodynamics,1432-0959,Yes,,,Springer Nature (Springer)
Contributions to Mineralogy and Petrology,1432-0967,Yes,,,Springer Nature (Springer)
Control Theory and Technology,2198-0942,Yes,,,Springer Nature (Springer)
Controlling & Management Review,2195-8270,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Coral Reefs,1432-0975,Yes,,,Springer Nature (Springer)
Corporate Reputation Review,1479-1889,Yes,,,Springer Nature (Palgrave Macmillan)
Corpus Pragmatics,2509-9515,Yes,,,Springer Nature (Springer)
Cosmic Research,1608-3075,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Crime Prevention and Community Safety,1743-4629,Yes,,,Springer Nature (Palgrave Macmillan)
"Crime, Law and Social Change",1573-0751,Yes,,,Springer Nature (Springer)
Criminal Law and Philosophy,1871-9805,Yes,,,Springer Nature (Springer)
Criminal Law Forum,1572-9850,Yes,,,Springer Nature (Springer)
Critical Criminology,1572-9877,Yes,,,Springer Nature (Springer)
Cryptography and Communications,1936-2455,Yes,,,Springer Nature (Springer)
Crystallography Reports,1562-689X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
CSI Transactions on ICT,2277-9086,Yes,,,Springer Nature (Springer)
cultura & psyché,2730-5732,Yes,,,Springer Nature (Springer)
Cultural Studies of Science Education,1871-1510,Yes,,,Springer Nature (Springer)
Culture and Brain,2193-8660,Yes,,,Springer Nature (Springer)
"Culture, Medicine, and Psychiatry",1573-076X,Yes,,,Springer Nature (Springer)
Current Addiction Reports,2196-2952,Yes,,,Springer Nature (Springer)
Current Allergy and Asthma Reports,1534-6315,Yes,,,Springer Nature (Springer)
Current Anesthesiology Reports,2167-6275,Yes,,,Springer Nature (Springer)
Current Atherosclerosis Reports,1534-6242,Yes,,,Springer Nature (Springer)
Current Behavioral Neuroscience Reports,2196-2979,Yes,,,Springer Nature (Springer)
Current Bladder Dysfunction Reports,1931-7220,Yes,,,Springer Nature (Springer)
Current Breast Cancer Reports,1943-4596,Yes,,,Springer Nature (Springer)
Current Cardiology Reports,1534-3170,Yes,,,Springer Nature (Springer)
Current Cardiovascular Imaging Reports,1941-9074,Yes,,,Springer Nature (Springer)
Current Cardiovascular Risk Reports,1932-9563,Yes,,,Springer Nature (Springer)
Current Climate Change Reports,2198-6061,Yes,,,Springer Nature (Springer)
Current Clinical Microbiology Reports,2196-5471,Yes,,,Springer Nature (Springer)
Current Colorectal Cancer Reports,1556-3804,Yes,,,Springer Nature (Springer)
Current Dermatology Reports,2162-4933,Yes,,,Springer Nature (Springer)
Current Developmental Disorders Reports,2196-2987,Yes,,,Springer Nature (Springer)
Current Diabetes Reports,1539-0829,Yes,,,Springer Nature (Springer)
Current Emergency and Hospital Medicine Reports,2167-4884,Yes,,,Springer Nature (Springer)
Current Environmental Health Reports,2196-5412,Yes,,,Springer Nature (Springer)
Current Epidemiology Reports,2196-2995,Yes,,,Springer Nature (Springer)
Current Forestry Reports,2198-6436,Yes,,,Springer Nature (Springer)
Current Fungal Infection Reports,1936-377X,Yes,,,Springer Nature (Springer)
Current Gastroenterology Reports,1534-312X,Yes,,,Springer Nature (Springer)
Current Genetic Medicine Reports,2167-4876,Yes,,,Springer Nature (Springer)
Current Genetics,1432-0983,Yes,,,Springer Nature (Springer)
Current Geriatrics Reports,2196-7865,Yes,,,Springer Nature (Springer)
Current Heart Failure Reports,1546-9549,Yes,,,Springer Nature (Springer)
Current Hematologic Malignancy Reports,1558-822X,Yes,,,Springer Nature (Springer)
Current Hepatology Reports,2195-9595,Yes,,,Springer Nature (Springer)
Current HIV/AIDS Reports,1548-3576,Yes,,,Springer Nature (Springer)
Current Hypertension Reports,1534-3111,Yes,,,Springer Nature (Springer)
Current Infectious Disease Reports,1534-3146,Yes,,,Springer Nature (Springer)
Current Landscape Ecology Reports,2364-494X,Yes,,,Springer Nature (Springer)
Current Medical Science,2523-899X,Yes,,,Springer Nature (Springer)
Current Microbiology,1432-0991,Yes,,,Springer Nature (Springer)
Current Molecular Biology Reports,2198-6428,Yes,,,Springer Nature (Springer)
Current Neurology and Neuroscience Reports,1534-6293,Yes,,,Springer Nature (Springer)
Current Nutrition Reports,2161-3311,Yes,,,Springer Nature (Springer)
Current Obesity Reports,2162-4968,Yes,,,Springer Nature (Springer)
Current Obstetrics and Gynecology Reports,2161-3303,Yes,,,Springer Nature (Springer)
Current Oncology Reports,1534-6269,Yes,,,Springer Nature (Springer)
Current Ophthalmology Reports,2167-4868,Yes,,,Springer Nature (Springer)
Current Oral Health Reports,2196-3002,Yes,,,Springer Nature (Springer)
Current Osteoporosis Reports,1544-2241,Yes,,,Springer Nature (Springer)
Current Otorhinolaryngology Reports,2167-583X,Yes,,,Springer Nature (Springer)
Current Pain and Headache Reports,1534-3081,Yes,,,Springer Nature (Springer)
Current Pathobiology Reports,2167-485X,Yes,,,Springer Nature (Springer)
Current Pediatrics Reports,2167-4841,Yes,,,Springer Nature (Springer)
Current Pharmacology Reports,2198-641X,Yes,,,Springer Nature (Springer)
Current Physical Medicine and Rehabilitation Reports,2167-4833,Yes,,,Springer Nature (Springer)
Current Pollution Reports,2198-6592,Yes,,,Springer Nature (Springer)
Current Psychiatry Reports,1535-1645,Yes,,,Springer Nature (Springer)
Current Psychology,1936-4733,Yes,,,Springer Nature (Springer)
Current Pulmonology Reports,2199-2428,Yes,,,Springer Nature (Springer)
Current Radiology Reports,2167-4825,Yes,,,Springer Nature (Springer)
Current Reviews in Musculoskeletal Medicine,1935-9748,Yes,,,Springer Nature (Springer)
Current Rheumatology Reports,1534-6307,Yes,,,Springer Nature (Springer)
Current Robotics Reports,2662-4087,Yes,,,Springer Nature (Springer)
Current Sexual Health Reports,1548-3592,Yes,,,Springer Nature (Springer)
Current Sleep Medicine Reports,2198-6401,Yes,,,Springer Nature (Springer)
Current Stem Cell Reports,2198-7866,Yes,,,Springer Nature (Springer)
Current Surgery Reports,2167-4817,Yes,,,Springer Nature (Springer)
Current Sustainable/Renewable Energy Reports,2196-3010,Yes,,,Springer Nature (Springer)
Current Tissue Microenvironment Reports,2662-4079,Yes,,,Springer Nature (Springer)
Current Transplantation Reports,2196-3029,Yes,,,Springer Nature (Springer)
Current Trauma Reports,2198-6096,Yes,,,Springer Nature (Springer)
Current Treatment Options in Allergy,2196-3053,Yes,,,Springer Nature (Springer)
Current Treatment Options in Cardiovascular Medicine,1534-3189,Yes,,,Springer Nature (Springer)
Current Treatment Options in Gastroenterology,1534-309X,Yes,,,Springer Nature (Springer)
Current Treatment Options in Infectious Diseases,1534-6250,Yes,,,Springer Nature (Springer)
Current Treatment Options in Neurology,1534-3138,Yes,,,Springer Nature (Springer)
Current Treatment Options in Oncology,1534-6277,Yes,,,Springer Nature (Springer)
