Journal,ISSN,Included in R&P Agreement,Explanation if not included,DOI,Publisher
American Heart Journal,0002-8703,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Heart Journal Plus: Cardiology Research and Practice,2666-6022,No,Gold OA Title.  15% discount on APC charges,,Elsevier
"American Historical Review, The",1937-5239,No,Society not yet agreed to offer OA ,,OUP
American Journal of Cardiovascular Drugs,1179-187X,Yes,,,Springer Nature (Adis)
American Journal of Clinical Dermatology,1179-1888,Yes,,,Springer Nature (Adis)
American Journal of Clinical Hypnosis,2160-0562,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
"American Journal of Clinical Nutrition, The",1938-3207,No,,,Elsevier
American Journal of Clinical Pathology,1943-7722,Yes,,,OUP
"American Journal of Comparative Law, The",2326-9197,Yes,,,OUP
American Journal of Criminal Justice,1936-1351,Yes,,,Springer Nature (Springer)
American Journal of Cultural Sociology,2049-7121,Yes,,,Springer Nature (Palgrave Macmillan)
American Journal of Dance Therapy,1573-3262,Yes,,,Springer Nature (Springer)
American Journal of Distance Education,1538-9286,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Journal of Emergency Medicine,0735-6757,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Epidemiology (1),1476-6256,Yes,,,OUP
American Journal of Health Education,2168-3751,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Journal of Health-System Pharmacy,1535-2900,Yes,,,OUP
American Journal of Hypertension,1941-7225,Yes,,,OUP
American Journal of Infection Control,0196-6553,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of International Law,2161-7953,Yes,,,CUP
"American Journal of Jurisprudence, The",2049-6494,Yes,,,OUP
American Journal of Kidney Diseases,0272-6386,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Law & Medicine,2375-835X,Yes,,,CUP
American Journal of Legal History,2161-797X,Yes,,,OUP
American Journal of Mathematical and Management Sciences,2325-8454,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Journal of Medicine Open,2667-0364,No,Gold OA Title.  15% discount on APC charges,,Elsevier
American Journal of Nephrology,,Yes,,,Karger
American Journal of Obstetrics & Gynecology,0002-9378,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Obstetrics & Gynecology MFM,2589-9333,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Ophthalmology,0002-9394,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Ophthalmology Case Reports,2451-9936,No,Gold OA Title.  15% discount on APC charges,,Elsevier
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Otolaryngology,0196-0709,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Potato Research,1874-9380,Yes,,,Springer Nature (Springer)
American Journal of Preventive Cardiology,2666-6677,No,Gold OA Title.  15% discount on APC charges,,Elsevier
American Journal of Preventive Medicine,0749-3797,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
American Journal of Sexuality Education,1554-6136,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Journalism,2326-2486,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Law and Economics Review,1465-7260,Yes,,,OUP
American Literary History,1468-4365,Yes,,,OUP
American Nineteenth Century History,1743-7903,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
American Political Science Review,1537-5943,Yes,,,CUP
American Review of Canadian Studies,1943-9954,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Americas,1533-6247,Yes,,,CUP
Amino Acids,1438-2199,Yes,,,Springer Nature (Springer)
Ampersand,2215-0390,No,Gold OA Title.  15% discount on APC charges,,Elsevier
Amphibia-Reptilia,1568-5381,Yes,,,BRILL
AMS Review,1869-8182,Yes,,,Springer Nature (Springer)
Amsterdamer Beiträge zur älteren Germanistik,1875-6719,Yes,,,BRILL
Amyloid,1744-2818,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,2167-9223,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Anaerobe,1075-9964,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Anaesthesia Critical Care & Pain Medicine,2352-5568,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Anais Brasileiros de Dermatologia,0365-0596,No,Society invoices APC - not on Elsevier systems,,Elsevier
Anais Brasileiros de Dermatologia (Versão em Português),2666-2752,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Anales de Pediatría,1695-4033,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Anales de Pediatría (English Edition),2341-2879,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Analog Integrated Circuits and Signal Processing,1573-1979,Yes,,,Springer Nature (Springer)
Analyse & Kritik,2365-9858,Yes,,,De Gruyter
Analysis,1467-8284,Yes,,,OUP
Analysis,2196-6753,Yes,,,De Gruyter
Analysis and Mathematical Physics,1664-235X,Yes,,,Springer Nature (Springer)
Analysis Mathematica,1588-273X,No,Publisher does not have rights to offer OA on this title,,Springer Nature (Springer)
Analytic Methods in Accident Research,2213-6657,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Analytica Chimica Acta,0003-2670,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Analytical and Bioanalytical Chemistry,1618-2650,Yes,,,Springer Nature (Springer)
Analytical Biochemistry,0003-2697,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Analytical Chemistry Letters,2230-7532,No,OA not available,,Taylor and Francis
Analytical Letters,1532-236X,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Anästhesie Nachrichten,2731-3972,Yes,,,Springer Nature (Springer)
Anatolia,2156-6909,Yes,,,Taylor and Francis
Anatolian Studies,2048-0849,Yes,,,CUP
Anatomical Science International,1447-073X,Yes,,,Springer Nature (Springer)
Ancient Civilizations from Scythia to Siberia,1570-0577,Yes,,,BRILL
Ancient Mesoamerica,1469-1787,Yes,,,CUP
Anesthésie & Réanimation,2352-5800,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Angelaki,1469-2899,Yes,,,Taylor and Francis
Angermion ,1868-9426,Yes,,,De Gruyter
Angiogenesis,1573-7209,Yes,,,Springer Nature (Springer)
Anglia,1865-8938,Yes,,,De Gruyter
Anglo-Saxon England,1474-0532,Yes,,,CUP
animal,1751-7311,No,Gold OA Title.  15% discount on APC charges,,Elsevier
animal - open space,2772-6940,No,Gold OA Title.  15% discount on APC charges,,Elsevier
animal - science proceedings,2772-283X,No,This journal may subsidise OA - authors should check with each journal on submission,,Elsevier
Animal Behaviour,0003-3472,Yes,,,Elsevier
Animal Biology,1570-7563,Yes,,,BRILL
Animal Biotechnology,1532-2378,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Animal Cells and Systems,2151-2485,No,Fully open access journal,,Taylor and Francis
Animal Cognition,1435-9456,Yes,,,Springer Nature (Springer)
Animal Feed Science and Technology,0377-8401,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Animal Gene,2352-4065,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Animal Health Research Reviews,1475-2654,Yes,,,CUP
Animal Nutrition,2405-6545,No,Journals owned and/or published by KeAi in China and where Elsevier does not have permission to include these in transformative agreements,,Elsevier
Animal Reproduction Science,0378-4320,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales d'Endocrinologie,0003-4266,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales de Cardiologie et d'Angéiologie,0003-3928,No,No OA Option available. Subscription-only Journal,,Elsevier
Annales de Chirurgie Plastique Esthétique,0294-1260,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales de Dermatologie et de Vénéréologie,0151-9638,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales de Dermatologie et de Vénéréologie - FMC,2667-0623,No,No OA Option available. Subscription-only Journal,,Elsevier
Annales de la Société entomologique de France (N.S.),2168-6351,No,Open select (not included for 2023). 10% discount on APCs.,,Taylor and Francis
Annales de Paléontologie,0753-3969,No,No OA Option available. Subscription-only Journal,,Elsevier
Annales de Pathologie,0242-6498,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales Françaises d'Oto-Rhino-Laryngologie et de Pathologie Cervico-Faciale,1879-7261,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales Henri Poincaré,1424-0661,Yes,,,Springer Nature (Springer)
Annales mathématiques du Québec,2195-4763,Yes,,,Springer Nature (Springer)
Annales Médico-Psychologiques,0003-4487,No,"Only a limited number of titles are included in the CAUL OA Agreeement with Elsevier, in years 1 & 2.  A 15% discount on Article Processing Charges may be available where an APC needs to be paid for Open Access;.",,Elsevier
Annales Pharmaceutiques Françaises,0003-4509,No,No OA Option available. Subscription-only Journal,,Elsevier
"Annales. Histoire, Sciences Sociales",1953-8146,No,No OA available,,CUP
"Annales. Histoire, Sciences Sociales: English Edition",2268-3763,No,No OA available,,CUP
